title,book_desc,writer,illustrator,publisher,publication_date,genre,isbn,setisbn,fnshYn,book_image

소드 아트 온라인 abec 화집 Wanderers,"수많은 가상세계를 오가는 여행자들의 기록을 이곳에. 장려하고도 현란한, 일러스트레이터 abec가 그린 440점 이상의 일러스트&카와하라 레키 신작 소설 『SAO 프리즈마틱 컬러즈』를 수록!\n\n수록 내용\n- 완전 신규 제작 『소드 아트 온라인』 일러스트\n- 전격문고 『소드 아트 온라인』 10~15, 『소드 아트 온라인 프로그레시브』1~3 일러스트\n- 애니메이션&게임 키 비주얼  - 카와하라 레키 & SAO 10주년 기념 일러스트\n- 애니메이션","카와하라 레키","abec","서울미디어코믹스",20210630,미상,9791136735553,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000274029     2024-02-01 16:01:21.460589  2024-02-01 16:01:21.460589

사이키 쿠스오의 재난 25,"음모에 넘어가 쿠스케 쪽에 붙은 토리츠카는 새로운 능력 '악마내림'을 이용해 쿠스오의 몸을 빼앗는 데에 성공한다. 쿠스오의 몸으로 지금까지 쌓인 원한을 풀기 위해 행동을 개시한 토리츠카에게 속수무책으로 당하는 쿠스오. 쿠스케의 진짜 의도는―?!","아소우 슈이치","아소우 슈이치","학산문화사",20210525,미상,9791134879570,9788968315701,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000275242  2024-02-01 16:01:32.766224  2024-02-01 16:01:32.766224

사이키 쿠스오의 재난 24,"설명 없음","아소우 슈이치","아소우 슈이치","학산문화사",20210223,미상,9791134875220,9788968315701,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000276405    2024-02-01 16:01:32.812869  2024-02-01 16:01:32.812869

"불꽃 소방대 27","신라 쿠사카베가 짊어진 숙명이란?! 목도하라, 형제 출생의 진실!! 애로와 함께 쿠사카베 가의 수수께끼를 캐던 중, 쇼우는 '아도라 링크'를 통해 '화염 인간'이 된 엄마 「마리」와 해후한다. 출생을 둘러싼 진실을 본 쇼우가 내린 결단은?! 한편, 타마만 앞바다에 드디어 여덟 번째 기둥이 출현. 절망의 황국에 거인 라플스 1세가 강림한다. 사람들이 천벌이라며 전율하는 가운데 구세주와 구세주의 대결이 시작된다! '재해대' 페어리에 의해 길이 막힌 신라,","오오쿠보 아츠시","오오쿠보 아츠시","학산문화사","20210618","미상","9791134885113","9791125658474","N","https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000278505     2024-02-01 16:01:42.936007  2024-02-01 16:01:42.936007

"불꽃 소방대 26","'도깨비 화염 인간', 아사쿠사에 나타나다! 최강의 사제 대결, 발발!! '도깨비'는 아사쿠사 소방수 선대 우두머리이자 베니마루의 스승 신몬 히바치의 도플갱어였다. 현세에 되살아난 히바치는 베니마루를 향해 아직도 제대로 각오를 세우지 못한 멍청이라며 일갈한다. 아사쿠사 소방수의 긍지를 둘러싼, 베니마루와 선대의 지난날 대립의 이유는…. 선대 히바치 vs, 제자 베니마루, 진짜 '일륜'을 건, 최강의 '보은'이 아사쿠사에서 시작된다!!","오오쿠보 아츠시","오오쿠보 아츠시","학산문화사","20210318","미상","9791134875176","9791125658474","N","https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000279274     2024-02-01 16:01:42.986360    2024-02-01 16:01:42.986360

"불꽃 소방대 25","거대 '화염 인간'과 수수께끼의 기둥 출현! 대재해 전날 밤, 해상 방위전 개시!! 전도자가 이끄는 파멸 계획은 드디어 최종 단계로! 위기가 닥쳐오는 도쿄 황국 해안선에 소방대와 하이지마, 흰옷 무리 등 각 세력이 집결한다! 우뚝 솟은 기둥과 대재해의 진상이란?! 그리고 전선에서는 형과 동생이 대치하는데…. 뜻밖의 인물과의 갑작스런 '아도라 링크'로 신라가 목격한 경악스러운 세계! 이계 '아도라'가 다가오면서 강해지는 불꽃의 변이! 이 세계는, 인류의","오오쿠보 아츠시","오오쿠보 아츠시","학산문화사","20210125","미상","9791134872748","9791125658474","N","https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000278435"   2024-02-01 16:01:43.031088  2024-02-01 16:01:43.031088
